Date,BRK-A
2000-02-01,51900.0
2000-02-02,50900.0
2000-02-03,51255.0
2000-02-04,51050.0
2000-02-07,51500.0
2000-02-08,50450.0
2000-02-09,48500.0
2000-02-10,47600.0
2000-02-11,45200.0
2000-02-14,43100.0
2000-02-15,46000.0
2000-02-16,50000.0
2000-02-17,49900.0
2000-02-18,50900.0
2000-02-21,
2000-02-22,49000.0
2000-02-23,49100.0
2000-02-24,46500.0
2000-02-25,45100.0
2000-02-28,44700.0
2000-02-29,44000.0
2000-03-01,44700.0
2000-03-02,44600.0
2000-03-03,45050.0
2000-03-06,44100.0
2000-03-07,44300.0
2000-03-08,43700.0
2000-03-09,42300.0
2000-03-10,41300.0
2000-03-13,44800.0
2000-03-14,44000.0
2000-03-15,48500.0
2000-03-16,51500.0
2000-03-17,51300.0
2000-03-20,50800.0
2000-03-21,54200.0
2000-03-22,54700.0
2000-03-23,54150.0
2000-03-24,54800.0
2000-03-27,51600.0
2000-03-28,50000.0
2000-03-29,50700.0
2000-03-30,53200.0
2000-03-31,57200.0
2000-04-03,53400.0
2000-04-04,55600.0
2000-04-05,56700.0
2000-04-06,57400.0
2000-04-07,56800.0
2000-04-10,56600.0
2000-04-11,56200.0
2000-04-12,58000.0
2000-04-13,59100.0
2000-04-14,58000.0
2000-04-17,58700.0
2000-04-18,58600.0
2000-04-19,58200.0
2000-04-20,59700.0
2000-04-21,
2000-04-24,60000.0
2000-04-25,60200.0
2000-04-26,59700.0
2000-04-27,59400.0
2000-04-28,59300.0
2000-05-01,58800.0
2000-05-02,55000.0
2000-05-03,54900.0
2000-05-04,55500.0
2000-05-05,56000.0
2000-05-08,56500.0
2000-05-09,56000.0
2000-05-10,54700.0
2000-05-11,55000.0
2000-05-12,55000.0
2000-05-15,59400.0
2000-05-16,60000.0
2000-05-17,59875.0
2000-05-18,59700.0
2000-05-19,59200.0
2000-05-22,57200.0
2000-05-23,56400.0
2000-05-24,56200.0
2000-05-25,57600.0
2000-05-26,57400.0
2000-05-29,
2000-05-30,59700.0
2000-05-31,58600.0
2000-06-01,60100.0
2000-06-02,59800.0
2000-06-05,60000.0
2000-06-06,59800.0
2000-06-07,60475.0
2000-06-08,60300.0
2000-06-09,60100.0
2000-06-12,59700.0
2000-06-13,59600.0
2000-06-14,58700.0
2000-06-15,57400.0
2000-06-16,57000.0
2000-06-19,56900.0
2000-06-20,57100.0
2000-06-21,56900.0
2000-06-22,54600.0
2000-06-23,54400.0
